Quarter,BG Group,HBB L1,HBB L2,Geo,Segment,Fiscal Year,Fiscal Quarter,Final
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY25/26,Q1ACT,14.7093715
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY25/26,Q2ACT,14.8893798
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY25/26,Q3M1,14.7187787
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY25/26,Q4MT,18.315113800000002
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY23/24,Q1,-0.2071143
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY23/24,Q2,0.943107
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY23/24,Q3,1.0543538000000001
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY23/24,Q4,0.6033375
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY24/25,Q1,0.959719
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY24/25,Q2,1.1667787
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY24/25,Q3,1.3962228
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY24/25,Q4,0.7552303
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY25/26,Q1ACT,1.1432989
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY25/26,Q2ACT,1.8507385
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY25/26,Q3M1,1.2178491
Revenue $M,IDG,GPS,Configuration Services,NA,SMB,FY25/26,Q4MT,1.0964996999999999
Revenue $M,IDG,GPS,Configuration Services,NA,CONS,FY23/24,Q1,1.2000000000000002e-06
Revenue $M,IDG,GPS,Configuration Services,NA,CONS,FY23/24,Q2,1.2000000000000002e-06
Revenue $M,IDG,GPS,Configuration Services,NA,CONS,FY23/24,Q3,3.9200000000000004e-05
Revenue $M,IDG,GPS,Configuration Services,NA,CONS,FY23/24,Q4,0.000137
Revenue $M,IDG,GPS,Configuration Services,NA,CONS,FY24/25,Q1,0.0002613
Revenue $M,IDG,GPS,Configuration Services,NA,CONS,FY24/25,Q2,0.0003658
